TMDb ID,IMDb ID,Title,Year,Public Avg Rating
9428,tt0265666,The Royal Tenenbaums,2001,7.467
490,tt0050976,The Seventh Seal,1957,8.2
278,tt0111161,The Shawshank Redemption,1994,8.71
694,tt0081505,The Shining,1980,8.211
274,tt0102926,The Silence of the Lambs,1991,8.347
745,tt0167404,The Sixth Sense,1999,7.95
37799,tt1285016,The Social Network,2010,7.369
1213,tt0134119,The Talented Mr. Ripley,1999,7.191
1091,tt0084787,The Thing,1982,8.1
1092,tt0041959,The Third Man,1949,7.9
591538,tt10095582,The Tragedy of Macbeth,2021,6.9
37165,tt0120382,The Truman Show,1998,8.147
629,tt0114814,The Usual Suspects,1995,8.173
1443,tt0159097,The Virgin Suicides,1999,7.12
293670,tt5215952,The Wailing,2016,7.367
785084,tt13833688,The Whale,2022,7.814
16307,tt0070917,The Wicker Man,1973,7.3
310131,tt4263482,The Witch,2015,6.985
630,tt0032138,The Wizard of Oz,1939,7.59
106646,tt0993846,The Wolf of Wall Street,2013,8.029
467244,tt7160372,The Zone of Interest,2023,7.018
1541,tt0103074,Thelma & Louise,1991,7.596
7345,tt0469494,There Will Be Blood,2007,8.1
359940,tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,8.1
108,tt0108394,Three Colours: Blue,1993,7.656
110,tt0111495,Three Colours: Red,1994,7.912
550293,tt0382550,To Kill a Child,1953,6.887
2034,tt0139654,Training Day,2001,7.5
627,tt0117951,Trainspotting,1996,7.962
7446,tt0942385,Tropic Thunder,2008,6.689
10362,tt1103275,Two Lovers,2008,6.851
473033,tt5727208,Uncut Gems,2019,7.159
14160,tt1049413,Up,2009,7.957
752,tt0434409,V for Vendetta,2005,7.899
426,tt0052357,Vertigo,1958,8.2
69,tt0358273,Walk the Line,2005,7.501
36040,tt0067959,Walkabout,1971,7.3
11837,tt0078480,Watership Down,1978,7.2
71859,tt1242460,We Need to Talk About Kevin,2011,7.5
1587,tt0108550,What's Eating Gilbert Grape,1993,7.663
639,tt0098635,When Harry Met Sally...,1989,7.4
682507,tt9411972,Where the Crawdads Sing,2022,7.559
244786,tt2582802,Whiplash,2014,8.4
402431,tt1262426,Wicked,2024,6.928
614,tt0050986,Wild Strawberries,1957,8.1
417812,tt5929754,Wildlife,2018,6.642
252,tt0067992,Willy Wonka & the Chocolate Factory,1971,7.48
144,tt0093191,Wings of Desire,1987,7.771
398181,tt5742374,You Were Never Really Here,2017,6.543
1949,tt0443706,Zodiac,2007,7.527
19908,tt1156398,Zombieland,2009,7.3
